Designator,Quantity,Value,Package,Digikey,URL,Mount_Type,Description
C1,1,0.1uF,805,311-1140-1-ND,https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874,smt,Unpolarized capacitor
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",21,1N148,SOD-123,1N4148W-E3-18CT-ND,https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/1N4148W-E3-18/3104163,smt,1N4148W (SOD-123)
"J1,J2",2,MIDI (TRS-A),,CP1-3513N-ND,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SJ1-3513N/738686,tht,"Audio Jack, 3 Poles (Stereo / TRS)"
J3,1,OLED_128x64,,3647-26095-ND,https://www.digikey.com/en/products/detail/universal-solder-electronics-ltd/26095/16822116,tht,SSD1306 i2c OLED
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED3, LED4, LED5, LED6, LED7, LED8, LED9",20,WS2812B-2020,,5962-XL-2020RGBC-WS2812BTR-ND,https://www.digikey.com/en/products/detail/xinglight/XL-2020RGBC-WS2812B/25672933,smt,"RGB LED with integrated controller, 2.0 x 2.0 mm, 12 mA"
"R1, R4",2,47,805,RMCF0805JT47R0CT-ND,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805JT47R0/1757848,smt,47 ohm 0805 SMT Resistor
R2,1,220,805,A129741CT-ND,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGCQ0805F220R/8576343,smt,220 ohm 0805 SMT Resistor
R6,1,470,805,A130132CT-ND,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGCQ0805J470R/8576734,smt,470 ohm 0805 SMT Resistor
"ROT0, ROT1",2,RotaryEncoder_Switch_MP,,4809-EC11E18244A5-ND,https://www.digikey.com/en/products/detail/alps-alpine/EC11E18244A5/21721665,tht,"Rotary encoder, dual channel, incremental quadrate outputs, with switch and MP Pin"
U2,1,6N138,SMDIP-8,58-6N138SM-ND,https://www.digikey.com/en/products/detail/isocom-components-2004-ltd/6N138SM/21183590,smt,"Low Input Current high Gain Split Darlington Optocouplers, -0.5V to 7V VDD, DIP-8"
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S3, S4, S5, S6, S7, S8, S9",20,Keyswitch,,,https://www.corsair.com/us/en/p/gaming-gear-accessories/CH-9917008-WW/cherry-mx-rgb-clear-ch-9917008-ww,tht,MX Keyswitch 1.00u
U1,1,RP2040_Zero,,,https://www.waveshare.com/RP2040-Zero.htm,tht,RP2040 Zero